sampleblock,slide_date,storage_box,anyeverused?,slide_number,nsites,n_cuts_between,image_prefreeze,slide_position,to be used? indicate site number,nsites_stained,anyeverused?,anyused?,to be used? indicate site number,stain_group,idx,imaged?,imgaging time predicted,Imaging time actual,slide_number,slidescan_fluo_nr,slidescan_fluo_name,,,
p161,20190215,VZBox18,,1,3,0,3455,2,,,,,,,,,,,,,,,,
p161,20190215,VZBox18,1,2,3,0,3461,"1,2,3",2,1,1,1,2,3,1,0,,1,2,23,v.zanotelli_20190509_p161_023,,,
p161,20190215,VZBox18,0,3,3,1,3467,"1,2,3",,,0,0,,,,,,,,,,,,
p161,20190215,VZBox18,0,4,3,2,3473,"1,2,3",,,0,0,,,,,,,,,,,,
p161,20190215,VZBox18,1,5,3,,3480,"1,2,3",2,1,1,1,2,1,2,0,,3,5,20,v.zanotelli_20190509_p161_020,,,
p161,20190215,VZBox18,1,6,3,0,3486,"2,3",,,0,0,,,,,,,,,,,,
p161,20190215,VZBox18,0,7,3,0,3492,"1,2,3",,,0,0,,,,,,,,,,,,
p161,20190215,VZBox18,1,8,3,,3498,"1,2,3",2,1,1,1,2,2,3,0,,3.5,8,16,v.zanotelli_20190509_p161_016,,,
p161,20190215,VZBox18,0,9,3,1,3504,"1,2,3",,,0,0,,,,,,,,,,,,
p161,20190215,VZBox18,0,10,3,0,3510,"1,2,3",,,0,0,,,,,,,,,,,,
p161,20190215,VZBox18,1,11,3,0,3516,"1,2,3",2,1,1,1,2,3,4,0,,4,11,30,v.zanotelli_20190509_p161_030,,,
p161,20190215,VZBox18,0,12,2,,3522,"1,2",,,0,0,,,,,,,,,,,,
p161,20190215,VZBox18,0,13,3,0,3526,"1,2,3",,,0,0,,,,,,,,,,,,
p161,20190215,VZBox18,1,14,3,0,3532,"1,2,3",2,1,1,1,2,1,5,0,5,x,14,19,v.zanotelli_20190509_p161_019,,,
p161,20190215,VZBox18,0,15,3,0,3538,"1,2,3",,,0,0,,,,,,,,,,,,
p161,20190215,VZBox18,0,16,3,0,3544,"1,2",,,0,0,,,,,,,,,,,,
p161,20190215,VZBox18,1,17,3,0,3550,"1,2,3",2,1,1,1,2,2,6,0,,5.25,17,22,v.zanotelli_20190509_p161_022,,,
p161,20190215,VZBox18,0,18,3,0,3556,"1,2,3",,,0,0,,,,,,,,,,,,
p161,20190215,VZBox18,0,19,3,0,3562,"1,2,3",,,0,0,,,,,,,,,,,,
p161,20190215,VZBox18,1,20,3,,3568,1,"1,3",2,1,1,1,3,7,1,,5.8,20,27,v.zanotelli_20190509_p161_027,,,
p161,20190215,VZBox18,0,21,3,0,3574,3,,,0,0,,,,,,,,,,,,
p161,20190215,VZBox18,0,22,3,,3580,"1,2,3",,,0,0,,,,,,,,,,,,
p161,20190215,VZBox18,1,23,3,0,3586,"1,2,3",2,1,1,1,2,1,8,0,,x,23,26,v.zanotelli_20190509_p161_026,,,
p161,20190215,VZBox18,0,24,3,0,3592,"1,2,3",,,0,0,,,,,,,,,,,,
p161,20190215,VZBox18,0,25,3,,3598,"1,2,3",,,0,0,,,,,,,,,,,,
p161,20190215,VZBox18,1,26,3,0,3604,"1,2,3",2,1,1,1,2,2,9,0,,5.5,26,17,v.zanotelli_20190509_p161_017,,,
p161,20190215,VZBox18,0,27,3,0,3610,"1,2,3",,,0,0,,,,,,,,,,,,
p161,20190215,VZBox18,0,28,3,0,3616,"1,2,3",,,0,0,,,,,,,,,,,,
p161,20190215,VZBox18,1,29,3,0,3622,"1,2,3",2,1,1,1,2,3,10,0,,5,29,29,v.zanotelli_20190509_p161_029,,,
p161,20190215,VZBox18,0,30,3,1,3628,"1,2,3",,,0,0,,,,,,,,,,,,
p161,20190215,VZBox18,0,31,3,0,3634,"1,2",,,0,0,,,,,,,,,,,,
p161,20190215,VZBox18,1,32,3,0,3640,"1,2,3",2,1,1,1,2,1,11,0,,x,32,24,v.zanotelli_20190509_p161_024,,,
p161,20190215,VZBox18,0,33,3,0,3646,3,,,0,0,,,,,,,,,,,,
p161,20190215,VZBox18,0,34,3,0,3652,"1,2,3",,,0,0,,,,,,,,,,,,
p161,20190215,VZBox18,1,35,3,0,3658,"1,3",3,1,1,1,3,2,12,0,3,x,35,21,v.zanotelli_20190509_p161_021,,,
p161,20190215,VZBox18,0,36,3,,3664,"1,2,3",,,0,0,,,,,,,,,,,,
p161,20190215,VZBox18,0,37,3,0,3670,"1,2,3",,,0,0,,,,,,,,,,,,
