bf_qc,plate,well
double,165,D07
double,173,E08
good,167,E08
good,163,C02
good,173,C09
good,169,D08
good,165,F09
good,171,C05
good,171,F11
good,167,F07
good,173,D07
good,165,C02
good,167,B05
good,169,F03
good,176,B08
good,167,C04
good,171,G03
good,165,B05
good,169,E11
good,167,C08
good,163,E03
good,167,G04
good,167,G02
good,176,D10
good,176,C07
good,171,E03
good,167,F08
good,171,B05
good,163,C08
good,171,B11
good,169,F06
good,161,C11
good,167,E07
good,165,C11
good,163,D02
good,173,C11
good,173,D05
good,165,F07
good,161,E07
good,163,D04
good,171,E09
good,173,G10
good,173,B11
good,161,E05
good,171,D07
good,169,G05
good,171,F09
good,167,G10
good,171,D06
good,167,F06
good,169,F07
good,167,B06
good,163,G02
good,163,B10
good,173,B07
good,163,E02
good,169,D05
good,163,G06
good,169,F10
good,171,D05
good,161,C03
good,176,F10
good,171,E10
good,165,F08
good,169,D06
good,171,D11
good,169,G11
good,161,E10
good,163,G08
good,163,B05
good,173,F06
good,169,E06
good,161,E09
good,161,G10
good,169,G10
good,176,D06
good,161,F05
good,165,E10
good,176,B10
good,163,F02
good,167,C02
good,163,C05
good,173,F09
good,171,F03
good,171,F08
good,167,C11
good,171,G02
good,176,E11
good,161,B09
good,171,G06
good,161,B10
good,171,F05
good,167,E05
good,165,E09
good,167,F09
good,169,G07
good,165,D04
good,161,E04
good,161,G02
good,169,E04
good,167,B04
good,167,F05
good,165,D02
good,173,G07
good,169,D10
good,161,B11
good,165,G10
good,173,C10
good,173,B09
good,171,G04
good,161,D04
good,165,D09
good,165,D05
good,169,D03
good,176,C09
good,163,D06
good,161,G04
good,167,B10
good,161,C09
good,176,B11
good,173,E09
good,171,E11
good,161,C10
good,167,F11
good,173,B02
good,161,C08
good,173,C02
good,171,G07
good,169,C06
good,171,B06
good,169,C08
good,167,D02
good,165,G04
good,161,D03
good,163,D10
good,163,C10
good,161,G05
good,167,G05
good,167,D07
good,167,C10
good,169,F11
good,173,C03
good,176,D09
good,163,B03
good,176,B03
good,176,B09
good,163,D11
good,161,D09
good,176,E07
good,167,B11
good,176,C06
good,165,F11
good,176,G09
good,169,G09
good,163,G11
good,169,G08
good,173,F04
good,165,D10
good,163,C04
good,171,C09
good,176,G07
good,169,C04
good,173,D09
good,173,C07
good,173,G09
good,171,F06
good,165,C03
good,176,E06
good,163,D08
good,176,G05
good,167,C07
good,163,F07
good,173,C06
good,167,F10
good,161,C05
good,161,B05
good,169,G02
good,167,F02
good,163,E07
good,167,D06
good,176,F02
good,176,B05
good,176,F11
good,165,E02
good,171,G09
good,169,F04
good,165,F04
good,165,F10
good,171,B04
good,167,F04
good,165,D11
good,165,F05
good,169,B06
good,176,E04
good,176,C10
good,163,B08
good,169,B02
good,161,E02
good,163,C03
good,169,B09
good,169,D07
good,165,C08
good,167,G08
good,171,G05
good,167,E02
good,169,C02
good,161,G09
good,165,B03
good,165,B09
good,176,E02
good,173,E02
good,167,C06
good,161,G06
good,176,G08
good,176,F05
good,163,G07
good,169,C10
good,169,E07
good,171,C02
good,173,E11
good,173,G05
good,169,F05
good,161,G08
good,165,G08
good,171,D04
good,165,E08
good,173,C04
good,161,D06
good,161,B08
good,176,C08
good,165,C07
good,171,D10
good,171,D09
good,169,E03
good,171,F10
good,165,D03
good,173,B10
good,163,B07
good,169,B05
good,176,D02
good,161,D07
good,171,G11
good,171,C03
good,171,E04
good,163,F08
good,165,B11
good,163,C07
good,169,B04
good,176,F07
good,176,F09
good,163,B04
good,161,C02
good,169,B08
good,173,F05
good,167,B09
good,161,F09
good,167,B08
good,176,G02
good,171,E02
good,161,D10
good,161,E03
good,173,D04
good,161,F04
good,171,G10
good,167,C09
good,163,E11
good,161,D11
good,176,G06
good,165,B06
good,165,G11
good,171,D03
good,165,B07
good,171,B02
good,161,B03
good,173,D11
good,167,C05
good,171,E07
good,171,E08
good,163,D03
good,167,B03
good,169,B07
good,163,B11
good,171,B03
good,171,B07
good,167,D03
good,176,B07
good,161,B07
good,165,B10
good,163,F10
good,163,D05
good,167,C03
good,173,E04
good,176,G10
good,171,F07
good,165,C05
good,176,E09
good,169,G03
good,171,C10
good,176,F04
good,171,F02
good,176,B04
good,161,F08
good,165,G09
good,165,G02
good,173,F07
good,173,G02
good,161,F06
good,161,F03
good,167,B02
good,173,G04
good,161,F11
good,161,C07
good,173,D02
good,169,C05
good,167,E06
good,161,E11
good,161,G03
good,165,F03
good,171,E06
good,173,C08
good,169,E05
good,165,F06
good,167,D05
good,165,D08
good,171,B08
good,169,E08
good,169,D02
good,165,E11
good,176,G11
good,161,D08
good,173,D08
good,167,D11
good,169,C03
good,161,E06
good,176,C03
good,171,D08
good,165,E06
good,167,E10
good,173,G06
good,169,E10
good,171,D02
good,173,B04
good,165,E07
good,167,D08
good,161,F07
good,167,G03
good,171,E05
good,176,D04
good,173,E03
good,173,E10
good,161,D05
good,163,E06
good,167,G11
good,163,G09
good,173,D10
good,169,F02
good,165,C10
good,173,F03
good,173,B08
good,176,D07
good,169,C09
good,163,B09
good,171,B10
good,167,B07
good,163,G03
good,163,F06
good,171,B09
good,169,E02
good,169,B10
good,171,C07
good,176,F08
good,161,C04
good,176,E10
good,167,E03
good,173,G03
good,165,E04
good,167,G06
good,169,D09
good,163,C06
good,176,C05
good,165,D06
good,176,G04
good,167,D09
good,173,D06
good,163,G05
good,176,D05
good,165,G03
good,161,F02
good,165,B02
good,161,B06
good,163,C09
good,169,D04
good,169,C07
good,176,F03
good,173,F02
good,169,F08
good,161,E08
good,176,C02
good,171,C04
good,173,G08
good,171,C11
good,163,E05
good,171,C08
good,165,C06
good,176,C04
good,173,F08
good,161,B02
good,163,F09
good,176,B06
good,167,G09
good,176,D03
good,169,D11
good,165,F02
good,165,G07
good,173,G11
good,176,D11
good,167,E09
good,169,F09
good,163,F03
good,165,G05
good,176,D08
good,161,C06
good,165,C09
good,176,B02
good,169,E09
good,167,E11
good,163,C11
good,165,E03
good,167,F03
good,167,E04
good,167,D04
good,169,G04
good,161,D02
good,171,F04
hair,165,B08
hair,163,F11
hair,165,B04
hair,163,E10
hair,161,G11
hair,173,E05
hair,163,G04
hair,173,B03
hair,173,F11
hair,163,G10
hair,163,D09
hair,176,G03
hair,167,D10
hair,176,C11
hair,173,E07
hair,163,E04
hair,165,C04
hair,163,B06
hair,161,F10
hair,176,E08
hair,173,C05
hair,163,F05
hair,173,B05
hair,171,C06
hair,163,F04
hair,176,E03
hair,173,E06
hair,163,B02
hair,163,E08
hair,161,B04
hair,176,E05
hair,163,D07
hair,165,E05
hair,173,F10
hair,176,F06
hair,173,B06
hair,163,E09
hair,167,G07
hair,161,G07
hair,173,D03
maybe,165,G06
maybe,169,B11
maybe,171,G08
maybe,169,B03
maybe,169,C11
maybe,169,G06
