acquisition_id,image_id,image_number,crop_number,acquisition_mcd_acid,site_mcd_panoramaid,slideac_name
7,12,1512,11,30,1,20190607_p165_slide46_ac1_vz
9,24,724,3,13,2,20190521_p161_slide32_ac1_vz
11,28,728,2,15,2,20190521_p161_slide32_ac1_vz
12,29,729,1,16,2,20190521_p161_slide32_ac1_vz
12,30,730,2,16,2,20190521_p161_slide32_ac1_vz
12,31,731,3,16,2,20190521_p161_slide32_ac1_vz
14,33,733,1,18,2,20190521_p161_slide32_ac1_vz
16,37,737,1,20,2,20190521_p161_slide32_ac1_vz
17,39,739,2,3,2,20190521_p161_slide32_ac1_vz
19,41,901,36,2,1,20190523_p165_slide36_ac1_vz
19,47,907,41,2,1,20190523_p165_slide36_ac1_vz
30,80,2140,1,37,1,20190617_p161_slide35_ac1_vz
32,88,1468,13,65,4,20190607_p165_slide41_ac1_vz
33,108,1728,23,29,2,20190609_p165_slide40_ac1_vz
33,119,1739,33,29,2,20190609_p165_slide40_ac1_vz
37,155,515,27,28,4,20190517_p165_slide43_ac1_vz
37,156,516,28,28,4,20190517_p165_slide43_ac1_vz
38,163,483,7,23,3,20190517_p165_slide43_ac1_vz
42,174,494,1,27,4,20190517_p165_slide43_ac1_vz
42,175,495,2,27,4,20190517_p165_slide43_ac1_vz
43,184,1924,4,9,1,20190611_p161_slide29_ac1_vz
43,185,1925,5,9,1,20190611_p161_slide29_ac1_vz
45,203,2503,16,33,3,20190621_p165_slide44_ac1_vz
45,204,2504,17,33,3,20190621_p165_slide44_ac1_vz
45,211,2511,23,33,3,20190621_p165_slide44_ac1_vz
46,222,82,30,3,1,20190514_p161_slide20_ac1_vz
46,223,83,31,3,1,20190514_p161_slide20_ac1_vz
46,225,85,33,3,1,20190514_p161_slide20_ac1_vz
46,230,90,38,3,1,20190514_p161_slide20_ac1_vz
46,236,96,43,3,1,20190514_p161_slide20_ac1_vz
46,237,97,44,3,1,20190514_p161_slide20_ac1_vz
46,239,99,46,3,1,20190514_p161_slide20_ac1_vz
34,242,1962,4,5,1,20190611_p165_slide33_ac1_vz
34,249,1969,46,5,1,20190611_p165_slide33_ac1_vz
34,254,1974,50,5,1,20190611_p165_slide33_ac1_vz
52,294,2014,7,8,1,20190611_p165_slide65_ac1_vz
54,311,1571,24,43,2,20190607_p165_slide46_ac1_vz
54,318,1578,30,43,2,20190607_p165_slide46_ac1_vz
56,331,1851,11,11,2,20190610_p161_slide17_ac1_vz
56,336,1856,16,11,2,20190610_p161_slide17_ac1_vz
58,364,124,24,5,2,20190514_p161_slide20_ac1_vz
58,368,128,28,5,2,20190514_p161_slide20_ac1_vz
60,384,444,2,20,3,20190517_p165_slide43_ac1_vz
61,402,1282,5,3,1,20190606_p165_slide27_ac1_vz
61,403,1283,50,3,1,20190606_p165_slide27_ac1_vz
53,425,2065,8,4,3,20190612_p161_slide23_ac1_vz
62,428,2068,10,3,1,20190612_p161_slide8_ac1_vz
62,431,2071,13,3,1,20190612_p161_slide8_ac1_vz
62,433,2073,15,3,1,20190612_p161_slide8_ac1_vz
62,439,2079,20,3,1,20190612_p161_slide8_ac1_vz
66,448,1708,2,24,2,20190609_p165_slide40_ac1_vz
33,455,1715,11,29,2,20190609_p165_slide40_ac1_vz
33,457,1717,13,29,2,20190609_p165_slide40_ac1_vz
70,466,946,12,25,2,20190523_p165_slide59_ac1_vz
72,488,1548,1,34,2,20190607_p165_slide46_ac1_vz
75,493,1553,1,39,2,20190607_p165_slide46_ac1_vz
77,515,335,8,8,1,20190516_p165_slide12_ac1_vz
79,518,338,1,11,1,20190516_p165_slide62_ac1_vz
80,540,697,38,11,3,20190518_p165_slide39_ac1_vz
80,541,698,39,11,3,20190518_p165_slide39_ac1_vz
81,545,1902,13,18,1,20190611_p161_slide29_ac1_vz
81,552,1909,8,18,1,20190611_p161_slide29_ac1_vz
83,555,1912,1,6,1,20190611_p161_slide29_ac1_vz
38,570,467,28,23,3,20190517_p165_slide43_ac1_vz
38,571,468,29,23,3,20190517_p165_slide43_ac1_vz
38,577,474,34,23,3,20190517_p165_slide43_ac1_vz
86,586,543,9,13,1,20190517_p165_slide68_ac1_vz
89,601,558,1,5,1,20190517_p165_slide68_ac1_vz
92,616,413,3,16,2,20190517_p165_slide43_ac1_vz
92,623,420,36,16,2,20190517_p165_slide43_ac1_vz
94,626,2443,1,45,2,20190621_p165_slide44_ac1_vz
95,627,2444,1,46,2,20190621_p165_slide44_ac1_vz
97,639,2456,11,54,2,20190621_p165_slide44_ac1_vz
98,647,2604,18,25,2,20190622_p165_slide42_ac1_vz
98,657,2614,27,25,2,20190622_p165_slide42_ac1_vz
100,665,1642,1,13,1,20190607_p165_slide77_ac1_vz
37,686,523,34,28,4,20190517_p165_slide43_ac1_vz
118,706,2383,1,11,1,20190621_p165_slide44_ac1_vz
122,716,2393,12,20,1,20190621_p165_slide44_ac1_vz
122,717,2394,13,20,1,20190621_p165_slide44_ac1_vz
122,720,2397,16,20,1,20190621_p165_slide44_ac1_vz
122,721,2398,17,20,1,20190621_p165_slide44_ac1_vz
123,728,765,20,4,2,20190522_p165_slide18_ac1_vz
123,736,773,28,4,2,20190522_p165_slide18_ac1_vz
123,737,774,29,4,2,20190522_p165_slide18_ac1_vz
19,744,921,54,2,1,20190523_p165_slide36_ac1_vz
19,748,925,7,2,1,20190523_p165_slide36_ac1_vz
79,784,341,12,11,1,20190516_p165_slide62_ac1_vz
79,787,344,15,11,1,20190516_p165_slide62_ac1_vz
79,788,345,2,11,1,20190516_p165_slide62_ac1_vz
132,807,244,6,3,1,20190515_p165_slide30_ac1_vz
133,812,249,1,10,1,20190515_p165_slide6_ac1_vz
135,815,252,1,15,1,20190515_p165_slide6_ac1_vz
135,822,259,16,15,1,20190515_p165_slide6_ac1_vz
57,826,2563,31,14,1,20190622_p165_slide42_ac1_vz
57,829,2566,34,14,1,20190622_p165_slide42_ac1_vz
57,830,2567,35,14,1,20190622_p165_slide42_ac1_vz
57,834,2571,39,14,1,20190622_p165_slide42_ac1_vz
