plate,well,Y89,Rh103,Pd105,Pd106,Pd108,Pd110,In113,In115,Bi209,Pt194,Pt198
1,B02,0,1,0,1,1,0,0,1,0,1,0
1,B03,0,1,1,0,0,0,1,0,1,1,0
1,B04,1,1,0,0,0,1,0,0,1,1,0
1,B05,1,0,1,0,1,0,0,0,1,1,0
1,B06,0,1,0,0,1,1,1,0,0,1,0
1,B07,0,1,1,0,1,1,0,0,0,1,0
1,B08,1,0,1,0,0,1,1,0,0,1,0
1,B09,1,0,0,1,0,0,1,0,1,1,0
1,B10,0,0,1,1,0,1,0,1,0,1,0
1,B11,1,0,1,1,0,0,1,0,0,1,0
1,C02,1,0,0,1,0,1,1,0,0,1,0
1,C03,1,1,0,0,1,1,0,0,0,1,0
1,C04,0,0,1,0,0,1,0,1,1,1,0
1,C05,0,1,0,0,1,0,1,0,1,1,0
1,C06,1,0,0,0,1,1,1,0,0,1,0
1,C07,1,1,0,0,0,0,0,1,1,1,0
1,C08,0,1,0,0,1,1,0,1,0,1,0
1,C09,1,0,1,1,1,0,0,0,0,1,0
1,C10,0,0,1,1,1,0,0,0,1,1,0
1,C11,0,1,0,0,0,1,1,0,1,1,0
1,D02,1,1,0,1,0,1,0,0,0,1,0
1,D03,0,1,1,0,1,0,0,1,0,1,0
1,D04,0,0,1,0,0,1,1,0,1,1,0
1,D05,0,1,1,1,1,0,0,0,0,1,0
1,D06,0,1,0,0,0,0,1,1,1,1,0
1,D07,1,1,1,0,0,1,0,0,0,1,0
1,D08,0,1,1,0,1,0,1,0,0,1,0
1,D09,0,0,0,1,0,0,1,1,1,1,0
1,D10,1,1,0,0,0,1,1,0,0,1,0
1,D11,0,0,0,0,0,1,1,1,1,1,0
1,E02,1,1,1,0,0,0,0,0,1,1,0
1,E03,1,0,0,1,0,0,0,1,1,1,0
1,E04,0,0,1,1,1,0,1,0,0,1,0
1,E05,1,0,0,0,1,1,0,1,0,1,0
1,E06,0,0,1,1,0,1,1,0,0,1,0
1,E07,0,1,1,1,0,0,1,0,0,1,0
1,E08,1,1,1,0,0,0,1,0,0,1,0
1,E09,1,1,0,0,0,0,1,0,1,1,0
1,E10,1,0,1,0,0,1,0,1,0,1,0
1,E11,0,1,0,1,0,0,1,1,0,1,0
1,F02,1,0,0,1,1,0,0,0,1,1,0
1,F03,0,1,0,0,1,0,0,1,1,1,0
1,F04,1,1,0,1,0,0,0,1,0,1,0
1,F05,0,1,1,0,0,1,0,1,0,1,0
1,F06,0,0,0,1,1,0,1,0,1,1,0
1,F07,1,1,1,1,0,0,0,0,0,1,0
1,F08,0,1,0,1,1,1,0,0,0,1,0
1,F09,1,0,1,0,0,0,1,0,1,1,0
1,F10,0,0,0,1,0,1,1,1,0,1,0
1,F11,1,0,1,1,0,1,0,0,0,1,0
1,G02,1,0,0,1,0,0,1,1,0,1,0
1,G03,0,1,0,1,0,1,1,0,0,1,0
1,G04,1,1,0,0,0,0,1,1,0,1,0
1,G05,0,0,1,1,0,0,0,1,1,1,0
1,G06,1,0,0,0,1,1,0,0,1,1,0
1,G07,0,0,0,1,1,1,1,0,0,1,0
1,G08,1,0,0,0,1,0,1,0,1,1,0
1,G09,0,0,0,1,1,1,0,1,0,1,0
1,G10,0,1,0,1,0,1,0,1,0,1,0
1,G11,0,1,0,1,1,0,0,0,1,1,0
2,B02,1,0,1,1,0,0,0,0,1,1,0
2,B03,0,1,0,1,0,0,0,1,1,1,0
2,B04,0,1,0,0,1,0,1,1,0,1,0
2,B05,1,0,0,0,0,1,1,1,0,1,0
2,B06,1,0,0,0,1,0,1,1,0,1,0
2,B07,1,0,1,0,0,1,0,0,1,1,0
2,B08,1,0,0,1,1,0,0,1,0,1,0
2,B09,0,0,0,0,1,1,0,1,1,1,0
2,B10,0,0,1,1,0,0,1,0,1,1,0
2,B11,0,0,1,1,0,1,0,0,1,1,0
2,C02,0,0,0,0,1,1,1,0,1,1,0
2,C03,1,1,1,0,1,0,0,0,0,1,0
2,C04,1,1,0,1,0,0,0,0,1,1,0
2,C05,1,1,0,0,0,1,0,1,0,1,0
2,C06,1,0,1,1,0,0,0,1,0,1,0
2,C07,0,1,1,0,0,0,0,1,1,1,0
2,C08,0,0,1,0,0,0,1,1,1,1,0
2,C09,0,1,0,0,0,1,1,1,0,1,0
2,C10,1,0,0,1,0,1,0,1,0,1,0
2,C11,0,0,0,0,1,1,1,1,0,1,0
2,D02,1,1,1,0,0,0,0,1,0,1,0
2,D03,0,0,1,0,1,0,1,1,0,1,0
2,D04,1,0,0,0,0,1,0,1,1,1,0
