plate,bc_plate,timepoint,sampleblock_name,concentration,cellline,hastelox,well,iscontrol,control_name,condition
173,1,72,p173,1.0,T-REx-293,1,B02,0,0,T-REx-293_c1.0_tp72
173,1,72,p173,1.0,HT-29,1,B03,0,0,HT-29_c1.0_tp72
173,1,72,p173,1.0,T-REx-293,0,B04,0,0,T-REx-293_c1.0_tp72
173,1,72,p173,1.0,HT-29,0,B05,0,0,HT-29_c1.0_tp72
173,1,72,p173,1.0,T-REx-293,1,B06,0,0,T-REx-293_c1.0_tp72
173,1,72,p173,1.0,HT-29,1,B07,0,0,HT-29_c1.0_tp72
173,1,72,p173,1.0,T-REx-293,0,B08,0,0,T-REx-293_c1.0_tp72
173,1,72,p173,1.0,HT-29,0,B09,0,0,HT-29_c1.0_tp72
173,1,72,p173,1.0,T-REx-293,1,B10,0,0,T-REx-293_c1.0_tp72
173,1,72,p173,1.0,HT-29,1,B11,0,0,HT-29_c1.0_tp72
173,1,72,p173,1.0,DLD-1,1,C02,0,0,DLD-1_c1.0_tp72
173,1,72,p173,1.0,T-47D,1,C03,0,0,T-47D_c1.0_tp72
173,1,72,p173,1.0,DLD-1,0,C04,0,0,DLD-1_c1.0_tp72
173,1,72,p173,1.0,T-47D,0,C05,0,0,T-47D_c1.0_tp72
173,1,72,p173,1.0,DLD-1,1,C06,0,0,DLD-1_c1.0_tp72
173,1,72,p173,1.0,T-47D,1,C07,0,0,T-47D_c1.0_tp72
173,1,72,p173,1.0,DLD-1,0,C08,0,0,DLD-1_c1.0_tp72
173,1,72,p173,1.0,T-47D,0,C09,0,0,T-47D_c1.0_tp72
173,1,72,p173,1.0,DLD-1,1,C10,0,0,DLD-1_c1.0_tp72
173,1,72,p173,1.0,T-47D,1,C11,0,0,T-47D_c1.0_tp72
173,1,72,p173,0.5,T-REx-293,1,D02,0,0,T-REx-293_c0.5_tp72
173,1,72,p173,0.5,HT-29,1,D03,0,0,HT-29_c0.5_tp72
173,1,72,p173,0.5,T-REx-293,0,D04,0,0,T-REx-293_c0.5_tp72
173,1,72,p173,0.5,HT-29,0,D05,0,0,HT-29_c0.5_tp72
173,1,72,p173,0.5,T-REx-293,1,D06,0,0,T-REx-293_c0.5_tp72
173,1,72,p173,0.5,HT-29,1,D07,0,0,HT-29_c0.5_tp72
173,1,72,p173,0.5,T-REx-293,0,D08,0,0,T-REx-293_c0.5_tp72
173,1,72,p173,0.5,HT-29,0,D09,0,0,HT-29_c0.5_tp72
173,1,72,p173,0.5,T-REx-293,1,D10,0,0,T-REx-293_c0.5_tp72
173,1,72,p173,0.5,HT-29,1,D11,0,0,HT-29_c0.5_tp72
173,1,72,p173,0.25,DLD-1,1,E02,0,0,DLD-1_c0.25_tp72
173,1,72,p173,0.5,T-47D,1,E03,0,0,T-47D_c0.5_tp72
173,1,72,p173,0.25,DLD-1,0,E04,0,0,DLD-1_c0.25_tp72
173,1,72,p173,0.5,T-47D,0,E05,0,0,T-47D_c0.5_tp72
173,1,72,p173,0.25,DLD-1,1,E06,0,0,DLD-1_c0.25_tp72
173,1,72,p173,0.5,T-47D,1,E07,0,0,T-47D_c0.5_tp72
173,1,72,p173,0.25,DLD-1,0,E08,0,0,DLD-1_c0.25_tp72
173,1,72,p173,0.5,T-47D,0,E09,0,0,T-47D_c0.5_tp72
173,1,72,p173,0.25,DLD-1,1,E10,0,0,DLD-1_c0.25_tp72
173,1,72,p173,0.5,T-47D,1,E11,0,0,T-47D_c0.5_tp72
173,1,72,p173,0.25,T-REx-293,1,F02,0,0,T-REx-293_c0.25_tp72
173,1,72,p173,0.25,HT-29,1,F03,0,0,HT-29_c0.25_tp72
173,1,72,p173,0.25,T-REx-293,0,F04,0,0,T-REx-293_c0.25_tp72
173,1,72,p173,0.25,HT-29,0,F05,0,0,HT-29_c0.25_tp72
173,1,72,p173,0.25,T-REx-293,1,F06,0,0,T-REx-293_c0.25_tp72
173,1,72,p173,0.25,HT-29,1,F07,0,0,HT-29_c0.25_tp72
173,1,72,p173,0.25,T-REx-293,0,F08,0,0,T-REx-293_c0.25_tp72
173,1,72,p173,0.25,HT-29,0,F09,0,0,HT-29_c0.25_tp72
173,1,72,p173,0.25,T-REx-293,1,F10,0,0,T-REx-293_c0.25_tp72
173,1,72,p173,0.25,HT-29,1,F11,0,0,HT-29_c0.25_tp72
173,1,72,p173,0.5,DLD-1,1,G02,0,0,DLD-1_c0.5_tp72
173,1,72,p173,0.25,T-47D,1,G03,0,0,T-47D_c0.25_tp72
173,1,72,p173,0.5,DLD-1,0,G04,0,0,DLD-1_c0.5_tp72
173,1,72,p173,0.25,T-47D,0,G05,0,0,T-47D_c0.25_tp72
173,1,72,p173,0.5,DLD-1,1,G06,0,0,DLD-1_c0.5_tp72
173,1,72,p173,0.25,T-47D,1,G07,0,0,T-47D_c0.25_tp72
173,1,72,p173,0.5,DLD-1,0,G08,0,0,DLD-1_c0.5_tp72
173,1,72,p173,0.25,T-47D,0,G09,0,0,T-47D_c0.25_tp72
173,1,72,p173,0.5,DLD-1,1,G10,0,0,DLD-1_c0.5_tp72
173,1,72,p173,0.25,T-47D,1,G11,0,0,T-47D_c0.25_tp72
176,1,96,p176,1.0,T-REx-293,0,B02,0,0,T-REx-293_c1.0_tp96
176,1,96,p176,1.0,HT-29,0,B03,0,0,HT-29_c1.0_tp96
176,1,96,p176,1.0,T-REx-293,0,B04,0,0,T-REx-293_c1.0_tp96
176,1,96,p176,1.0,HT-29,0,B05,0,0,HT-29_c1.0_tp96
176,1,96,p176,1.0,T-REx-293,0,B06,0,0,T-REx-293_c1.0_tp96
176,1,96,p176,1.0,HT-29,0,B07,0,0,HT-29_c1.0_tp96
176,1,96,p176,1.0,T-REx-293,0,B08,0,0,T-REx-293_c1.0_tp96
176,1,96,p176,1.0,HT-29,0,B09,0,0,HT-29_c1.0_tp96
176,1,96,p176,1.0,T-REx-293,0,B10,0,0,T-REx-293_c1.0_tp96
176,1,96,p176,1.0,HT-29,0,B11,0,0,HT-29_c1.0_tp96
176,1,96,p176,1.0,DLD-1,0,C02,0,0,DLD-1_c1.0_tp96
176,1,96,p176,1.0,T-47D,0,C03,0,0,T-47D_c1.0_tp96
176,1,96,p176,1.0,DLD-1,0,C04,0,0,DLD-1_c1.0_tp96
176,1,96,p176,1.0,T-47D,0,C05,0,0,T-47D_c1.0_tp96
176,1,96,p176,1.0,DLD-1,0,C06,0,0,DLD-1_c1.0_tp96
176,1,96,p176,1.0,T-47D,0,C07,0,0,T-47D_c1.0_tp96
176,1,96,p176,1.0,DLD-1,0,C08,0,0,DLD-1_c1.0_tp96
176,1,96,p176,1.0,T-47D,0,C09,0,0,T-47D_c1.0_tp96
176,1,96,p176,1.0,DLD-1,0,C10,0,0,DLD-1_c1.0_tp96
176,1,96,p176,1.0,T-47D,0,C11,0,0,T-47D_c1.0_tp96
176,1,96,p176,0.5,T-REx-293,0,D02,0,0,T-REx-293_c0.5_tp96
176,1,96,p176,0.5,HT-29,0,D03,0,0,HT-29_c0.5_tp96
176,1,96,p176,0.5,T-REx-293,0,D04,0,0,T-REx-293_c0.5_tp96
176,1,96,p176,0.5,HT-29,0,D05,0,0,HT-29_c0.5_tp96
176,1,96,p176,0.5,T-REx-293,0,D06,0,0,T-REx-293_c0.5_tp96
176,1,96,p176,0.5,HT-29,0,D07,0,0,HT-29_c0.5_tp96
176,1,96,p176,0.5,T-REx-293,0,D08,0,0,T-REx-293_c0.5_tp96
176,1,96,p176,0.5,HT-29,0,D09,0,0,HT-29_c0.5_tp96
176,1,96,p176,0.5,T-REx-293,0,D10,0,0,T-REx-293_c0.5_tp96
176,1,96,p176,0.5,HT-29,0,D11,0,0,HT-29_c0.5_tp96
176,1,96,p176,0.25,DLD-1,0,E02,0,0,DLD-1_c0.25_tp96
176,1,96,p176,0.5,T-47D,0,E03,0,0,T-47D_c0.5_tp96
176,1,96,p176,0.25,DLD-1,0,E04,0,0,DLD-1_c0.25_tp96
176,1,96,p176,0.5,T-47D,0,E05,0,0,T-47D_c0.5_tp96
176,1,96,p176,0.25,DLD-1,0,E06,0,0,DLD-1_c0.25_tp96
176,1,96,p176,0.5,T-47D,0,E07,0,0,T-47D_c0.5_tp96
176,1,96,p176,0.25,DLD-1,0,E08,0,0,DLD-1_c0.25_tp96
176,1,96,p176,0.5,T-47D,0,E09,0,0,T-47D_c0.5_tp96
176,1,96,p176,0.25,DLD-1,0,E10,0,0,DLD-1_c0.25_tp96
176,1,96,p176,0.5,T-47D,0,E11,0,0,T-47D_c0.5_tp96
176,1,96,p176,0.25,T-REx-293,0,F02,0,0,T-REx-293_c0.25_tp96
176,1,96,p176,0.25,HT-29,0,F03,0,0,HT-29_c0.25_tp96
176,1,96,p176,0.25,T-REx-293,0,F04,0,0,T-REx-293_c0.25_tp96
176,1,96,p176,0.25,HT-29,0,F05,0,0,HT-29_c0.25_tp96
176,1,96,p176,0.25,T-REx-293,0,F06,0,0,T-REx-293_c0.25_tp96
176,1,96,p176,0.25,HT-29,0,F07,0,0,HT-29_c0.25_tp96
176,1,96,p176,0.25,T-REx-293,0,F08,0,0,T-REx-293_c0.25_tp96
176,1,96,p176,0.25,HT-29,0,F09,0,0,HT-29_c0.25_tp96
176,1,96,p176,0.25,T-REx-293,0,F10,0,0,T-REx-293_c0.25_tp96
176,1,96,p176,0.25,HT-29,0,F11,0,0,HT-29_c0.25_tp96
176,1,96,p176,0.5,DLD-1,0,G02,0,0,DLD-1_c0.5_tp96
176,1,96,p176,0.25,T-47D,0,G03,0,0,T-47D_c0.25_tp96
176,1,96,p176,0.5,DLD-1,0,G04,0,0,DLD-1_c0.5_tp96
